clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
14,Rai14,0.008974831523574932,2.0,0.9607843137254902
14,Cdh18,0.009686369375325491,21.0,0.9197012138188607
14,Hs3st4,0.00541226579395694,37.0,0.8643349231584527
14,Dpp10,0.013079246762754721,145.0,0.8624070317782284
14,Tle4,0.00636039200558336,8.0,0.8578431372549019
14,Cntnap4,0.008321059985012232,5.0,0.8352941176470589
14,Dlc1,0.0060167400643324175,9.0,0.8224400871459696
14,Etl4,0.006851882994987362,31.0,0.7590132827324477
14,Tmem178b,0.005643119424667984,3.0,0.2549019607843137
15,Vwa3a,0.0025134209695507276,1.0,0.9803921568627451
15,Trhr,0.003496827079775982,1.0,0.9607843137254902
15,Trpm3,0.007556340654820632,52.0,0.8893288084464557
15,Scn9a,0.002565674204969062,2.0,0.8823529411764706
15,Rfx3,0.0037935977200908703,43.0,0.8645690834473327
15,Stxbp6,0.002567556307409788,8.0,0.8602941176470589
15,Grb14,0.0022615853089281127,4.0,0.8235294117647058
15,Ahcyl2,0.004950925381074462,25.0,0.8172549019607845
15,Il1rap,0.0022562051304669452,10.0,0.8078431372549019
15,Ccdc85a,0.002634821897836542,16.0,0.7818627450980392
16,Rmst,0.0074549058197477345,5.0,0.9607843137254902
16,Gpc6,0.014610794029556956,26.0,0.9407993966817495
16,Pdzrn3,0.007776773259444393,8.0,0.9178921568627451
16,Tshz2,0.005853614609794491,16.0,0.9031862745098039
16,Gm2164,0.008056571052603802,3.0,0.8758169934640523
16,Tox,0.006771618086542998,10.0,0.8598039215686275
16,Cdh20,0.005800911631770239,6.0,0.8071895424836603
16,Mgat4c,0.009206837908222618,21.0,0.7749766573295985
16,Hs6st3,0.007491558217691858,41.0,0.7651841224294595
16,Lrrc4c,0.007510718031711473,76.0,0.7285861713106297
17,2600014E21Rik,0.0069016236317054015,1.0,1.0
17,Ndrg1,0.005153827630994268,1.0,1.0
17,Dcn,0.008216548468974863,1.0,0.9803921568627451
17,Ccn3,0.0032800117276478424,1.0,0.9607843137254902
17,Grp,0.0030445892982689593,1.0,0.9607843137254902
17,Pde11a,0.003795129707760039,5.0,0.9294117647058823
17,Adamtsl1,0.0029139784858195337,7.0,0.9257703081232495
17,Ndst3,0.004695252519721363,10.0,0.8921568627450982
17,Cpne7,0.004468599128565467,8.0,0.8823529411764706
17,Cacnb2,0.005864964318936019,46.0,0.8143648763853368
18,Smoc1,0.00965344054434467,1.0,1.0
18,Dach1,0.01572016176965881,12.0,0.9852941176470589
18,Ptpn14,0.004196669712805924,1.0,0.9803921568627451
18,Cdh4,0.0047836281488138855,3.0,0.9346405228758171
18,9530026P05Rik,0.0043079418675042724,4.0,0.9166666666666666
18,Rgs6,0.0041940898243548776,12.0,0.90359477124183
18,Pdzrn4,0.00467681263870714,15.0,0.8941176470588236
18,Atp2b4,0.004223708952262954,4.0,0.8823529411764706
18,Cdh13,0.004144677912392534,13.0,0.8627450980392158
18,Tox3,0.004883560747399601,3.0,0.849673202614379
19,Fign,0.0076598147379055735,1.0,0.9607843137254902
19,Syt9,0.003458987365326849,1.0,0.9607843137254902
19,Arhgap6,0.0036105138732499147,3.0,0.96078431372549
19,Lypd1,0.00303389794064787,2.0,0.9313725490196079
19,Adamtsl1,0.004308954879845441,7.0,0.9257703081232495
19,Pou6f2,0.0045389042834144905,1.0,0.9215686274509803
19,B130024G19Rik,0.0037381319064662332,3.0,0.915032679738562
19,Camk2d,0.002913571980352129,9.0,0.8572984749455336
19,Grin3a,0.0028094260241238954,3.0,0.8562091503267973
19,Pdzrn4,0.0036300369703301475,10.0,0.8411764705882353
20_1,Gm31218,0.010966469112700305,1.0,1.0
20_1,Tac1,0.008352475108708879,1.0,1.0
