clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
24,Gli3,0.005355923650190993,3.0,0.9423076923076922
24,Mertk,0.0051771010170224945,6.0,0.9230769230769231
24,Ntsr2,0.0031417066710803417,2.0,0.9134615384615384
24,Plpp3,0.0054074703088764775,5.0,0.9038461538461539
24,Atp1a2,0.003407346764331043,7.0,0.8956043956043958
24,Trpm3,0.004205371026621233,11.0,0.8881118881118879
24,Ptprz1,0.0036748419916118147,8.0,0.8774038461538461
24,Rgs20,0.0034528597994180287,5.0,0.851923076923077
25,Tshz2,0.02219558875809309,23.0,0.9974916387959868
25,Vwc2l,0.017165719953840617,9.0,0.9914529914529914
25,Abi3bp,0.00863622451411478,2.0,0.9903846153846154
25,Etv1,0.011376291018193584,4.0,0.9807692307692307
25,Olfm3,0.007629884405108234,10.0,0.9307692307692308
25,Nxph1,0.006675924061870533,13.0,0.8698224852071005
25,Dcc,0.00709091951778637,31.0,0.8442928039702232
25,Unc13b,0.00655976778541979,3.0,0.8076923076923077
25,Adcy2,0.008138645410470753,15.0,0.7762820512820513
25,Nrxn3,0.008243756302729903,15.0,0.37179487179487175
26,Foxp2,0.006520775689646205,12.0,0.9310897435897437
26,Hs3st4,0.0035692448860537994,26.0,0.8883136094674556
26,Tle4,0.006633207628454204,7.0,0.8777472527472526
26,Cdh18,0.005845180485454401,38.0,0.8709514170040484
26,Ephb1,0.003908675551582467,4.0,0.8701923076923077
26,Thsd7b,0.0036700153468205497,5.0,0.8538461538461539
26,Brinp3,0.011698205876031098,15.0,0.808974358974359
26,Efna5,0.00426031993430791,8.0,0.7019230769230769
26,Grm7,0.00359504300145949,5.0,0.4192307692307693
26,Kcnq5,0.005838595578371642,1.0,0.38461538461538464
27,Adamts18,0.005521552798770819,2.0,0.9903846153846154
27,Slc26a4,0.0027426588479339048,1.0,0.9807692307692307
27,Thsd4,0.0022540745682406204,1.0,0.9807692307692307
27,Rspo2,0.002729405523941633,4.0,0.9567307692307693
27,Il1rapl2,0.004483714270199086,20.0,0.9278846153846154
27,Ntng1,0.0036599413231530554,5.0,0.9115384615384616
27,Cpne7,0.0041669650713540745,1.0,0.9038461538461539
27,C1ql3,0.0035233036885718803,5.0,0.8961538461538461
27,Rmst,0.003325419255507601,4.0,0.8942307692307693
27,Zfp804b,0.002774519873528542,24.0,0.8902243589743589
28,A330049N07Rik,0.00582022389798876,1.0,1.0
28,Hapln2,0.00500555111628739,1.0,1.0
28,Anln,0.005882079456888032,2.0,0.9903846153846154
28,Enpp6,0.013533615084017715,1.0,0.9807692307692307
28,Trf,0.004965394002069351,4.0,0.9519230769230769
28,Apod,0.005448115503193957,3.0,0.9423076923076923
